playerRegion,playerLanguage,playerNumberOfDaysOld,numberOfGuesses,countryFlagEmoji,deviceAlternateLanguage,deviceIdentifierForVendor
PA,fr,22.0,1.9,🇹🇩,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,fr,22.0,1.9,🇰🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,fr,22.0,1.9,🇨🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,fr,22.0,1.9,🇨🇩,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,fr,22.0,1.9,🇨🇮,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,fr,22.0,1.9,🇩🇯,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,fr,22.0,1.9,🇬🇶,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,fr,22.0,1.9,🇫🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,fr,22.0,1.9,🇬🇫,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,fr,22.0,1.9,🇬🇦,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
CA,fr,22.0,1.9,🇭🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
US,fr,22.0,1.9,🇱🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
PA,fr,22.0,1.9,🇲🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,fr,22.0,1.9,🇲🇱,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,fr,22.0,1.9,🇲🇨,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
MX,fr,22.0,1.9,🇳🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
