playerRegion,playerLanguage,playerNumberOfDaysOld,numberOfGuesses,deviceAlternateLanguage,deviceIdentifierForVendor,countryFlagEmoji,countryName
en,US,22.0,1.0,none,D4666FBE-F2E1-4D41-9387-5D34B89BE1CC,🇺🇸,United States
en,US,22.0,1.0,none,D4666FBE-F2E1-4D41-9387-5D34B89BE1CC,🇮🇹,Italy
en,US,22.0,6.0,none,D4666FBE-F2E1-4D41-9387-5D34B89BE1CC,🇶🇦,Qatar
en,US,22.0,3.0,none,D4666FBE-F2E1-4D41-9387-5D34B89BE1CC,🇦🇷,Argentina
en,US,22.0,5.0,none,D4666FBE-F2E1-4D41-9387-5D34B89BE1CC,🇦🇫,Afghanistan
en,US,33.0,6.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇫🇯,Fiji
en,US,33.0,4.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇻🇨,Saint Vincent and the Grenadines
en,US,33.0,4.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇨🇬,Congo
en,US,33.0,2.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇵🇾,Paraguay
en,US,33.0,2.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇨🇾,Cyprus
en,US,33.0,6.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇯🇪,Jersey
en,US,33.0,3.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇸🇿,Swaziland
en,US,33.0,4.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇸🇹,Sao Tome and Principe
en,US,33.0,5.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇰🇮,Kiribati
en,US,33.0,3.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇱🇨,Saint Lucia
en,US,33.0,6.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇾🇪,Yemen
en,US,33.0,3.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇦🇬,Antigua and Barbuda
en,US,33.0,5.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇬🇲,Gambia
en,US,33.0,5.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇱🇦,Lao People's Democratic Republic
en,US,33.0,3.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇸🇦,Saudi Arabia
en,US,33.0,4.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇬🇶,Equatorial Guinea
en,US,33.0,3.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇭🇷,Croatia
en,US,33.0,6.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇸🇾,Syrian Arab Republic
en,US,33.0,2.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇵🇹,Portugal
en,US,33.0,3.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇹🇼,Taiwan, Province of China
en,US,33.0,5.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇵🇬,Papua New Guinea
en,US,33.0,8.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇵🇳,Pitcairn
en,US,33.0,7.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇸🇧,Solomon Islands
en,US,33.0,3.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇭🇺,Hungary
en,US,33.0,3.0,none,C2251F72-D294-4A71-AE00-869BB16AA639,🇨🇷,Costa Rica
